"sa100662.pdf" "sa15145.pdf" "sa16564.pdf" "sa17261.pdf" "sa17581.pdf" "sa17862.pdf" "sa18881.pdf" "sa18884.pdf" "sa19033.pdf" "sa19068.pdf" "sa19228.pdf" "sa19515.pdf" "sa20582.pdf" "sa20674.pdf" "sa20821.pdf" "sa20947.pdf" "sa23082.pdf" "sa23179.pdf" "sa24558.pdf" "sa24889.pdf" "sa25115.pdf" "sa25124.pdf" "sa25137.pdf" "sa25435.pdf" "sa25739.pdf" "sa25740.pdf" "sa25779.pdf" "sa26377.pdf" "sa26413.pdf" "sa27517.pdf" "sa28092.pdf" "sa28156.pdf" "sa28192.pdf" "sa28435.pdf" "sa28438.pdf" "sa28665.pdf" "sa28845.pdf" "sa28969.pdf" "sa29001.pdf" "sa29028.pdf" "sa29119.pdf" "sa29606.pdf" "sa29706.pdf" "sa29729.pdf" "sa297291.pdf" "sa29775.pdf" "sa29826.pdf" "sa29874.pdf" "sa30296.pdf" "sa30317.pdf" "sa303171.pdf" "sa30705.pdf" "sa30791.pdf" "sa31219.pdf" "sa31229.pdf" "sa31230.pdf" "sa31346.pdf" "sa31687.pdf" "sa31729.pdf" "sa31851.pdf" "sa32021.pdf" "sa32037.pdf" "sa32309.pdf" "sa32829.pdf" "sa32866.pdf" "sa33077.pdf" "sa33092.pdf" "sa33099.pdf" "sa33151.pdf" "sa33221.pdf" "sa33222.pdf" "sa33324.pdf" "sa33364.pdf" "sa33386.pdf" "sa33420.pdf" "sa33438.pdf" "sa33473.pdf" "sa33641.pdf" "sa33656.pdf" "sa33671.pdf" "sa33807.pdf" "sa33869.pdf" "sa34031.pdf" "sa34166.pdf" "sa34188.pdf" "sa34199.pdf" "sa34290.pdf" "sa34665.pdf" "sa34708.pdf" "sa34732.pdf" "sa34809.pdf" "sa34845.pdf" "sa34932.pdf" "sa35000.pdf" "sa35027.pdf" "sa35028.pdf" "sa35029.pdf" "sa35060.pdf" "sa35233.pdf" "sa35562.pdf" "sa35834.pdf" "sa35913.pdf" "sa35949.pdf" "sa36132.pdf" "sa36234.pdf" "sa36601.pdf" "sa36703.pdf" "sa36918.pdf" "sa37558.pdf" "sa37682.pdf" "sa37685.pdf" "sa37812.pdf" "sa37860.pdf" "sa37864.pdf" "sa38025.pdf" "sa38348.pdf" "sa38626.pdf" "sa38690.pdf" "sa39089.pdf" "sa39090.pdf" "sa39518.pdf" "sa40720.pdf" "sa41065.pdf" "sa41175.pdf" "sa41416.pdf" "sa43404.pdf" "sa43484.pdf" "sa46203.pdf" "sa46372.pdf" "sa46613.pdf" "sa46731.pdf" "sa46805.pdf" "sa48325.pdf" "sa48418.pdf" "sa49445.pdf" "sa49614.pdf" "sa49935.pdf" "sa50844.pdf" "sa52224.pdf" "sa52732.pdf" "sa54668.pdf" "sa54684.pdf" "sa55578.pdf" "sa56426.pdf" "sa56599.pdf" "sa57216.pdf" "sa57357.pdf" "sa57495.pdf" "sa57496.pdf" "sa57497.pdf" "sa58074.pdf" "sa58099.pdf" "sa58261.pdf" "sa59574.pdf" "sa62696.pdf" "sa63172.pdf" "tdm.tfidf.median.rw"
"conduc" 0 0 0 0 0 0 0 0 0 0 0 0.000797319276599253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00178642163039733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00207620436038496 0 0.00230434542091563 0.00216701701693542 0 0 0 0 0 0 0 0.000886683249211384 0 0 0 0.000731943513199425 0 0 0.000882733657900866 0 0.000761328106795022 0.000788594135291462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conduct" 0 0.000350645018547441 0 0.000186573735725554 0.000214046351565057 0.00024129802243313 0.000309030800659974 0 0.00061050121475946 0.000480081516375976 0 0.00036143735164697 0 0 0 0.000343013569117428 0 0.000428398921086574 0.00180030568640991 0.000952148953384785 0.000504976131263938 0.00077144915201249 0 0.000626466204685178 0.00105875372718744 0.000842337119098495 0 0 0.000826071298867627 0 0.00175117453707319 0 0.00105533337740798 0.000474377577567549 0.000479889176024864 0.000709179030999443 0 0.000269937661513986 0.000557117852724679 0 0.000436199338440663 0.000238226607668667 0 0.0022887962739326 0.0022887962739326 0.00024923083299169 0 0.000420577030673476 0.000308712212205686 0.000892550956302578 0.000828356420026321 0.000754284246447141 0 0 0 0.000313725349229455 0.000804434777272035 0.000174099328976462 0.00163723808550856 0.000281438764886762 0 0.000777289671225217 0.000760510084671784 0 0.000356489102189899 0.000667671897078071 0.000401947444079886 0 0.000889898501751902 0 0.000442401988313226 0.000705420131541849 0.000438755818079875 0.000666928387170412 0.0016823081226939 0.000230081326038813 0.000357482108045581 0.00125336942799937 0.00030895109191593 0.000704866643796426 0.000360025062626408 0.00171605069249006 0 0.000761961439795204 0.00204869449833192 0.00114915578831921 0 0 0.000428603309884802 0.000262791439964471 0.00196039833610157 0 0.000415135183696185 0.000208386114014972 0.000152976166456968 0.000152976166456968 0.000152976166456968 0 0 0.000706251994904516 0 0 0.000375016713637464 0 0.000608022022009168 0 0 0.000145647298560075 0.000329882507121471 0 0.000978064820379472 0 0 0 0.00044264722223136 0 0.000166407805412345 0 0 0 0.00139214712152262 0.00125945679203481 0.000439937579587926 0.000471947747580008 0.000507974293196802 0 0.00397375530024001 0.000522601825199852 0 0.000488500564175392 0 0.000517633268521201 0.000251956959057228 0.000377498702602603 0 0.000361874133945033 0.00137932218258643 0.000896291068062002 0.000963484059972699 0.00046770924769936 0.000847822326838944 0.000166500331298034 0.000382684787015355 0.000206233364903247 0 0.000280910737185286 0 0 0.000612687152612818 0.00037929176167133 0 0.000323381043023234 0 0.00076429516549136 0 0.000319812224107706 0.000323381043023234
"conduit" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000729561608137618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confeder" 0 0 0 0 0 0 0 0 0 0 0 0.00146558081248486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confer" 0 0.000908462343241198 0.000237582863612918 0.000161127069808512 0.000184852714111981 0.000208387547979582 0.00026688229828964 0.000585971934386694 0.000527235366040084 0.000414603522312883 0.00022507306095967 0.000208094103434046 0.000346660786920457 0.000552977078494642 0.000234672365737442 0.000296230179888501 0.000484740294363001 0.000739939762639946 0 0.000822286000135647 0.000436102777474976 0.000222077240912547 0.000519034514887428 0.000270511450881445 0.000304783673591822 0.000363725663913729 0.000401566687954443 0 0.000356701995920912 0 0 0.000539893417625597 0.0006835478776458 0.000204838769934781 0.00041443741513247 0.000306227290755075 0.000215597288072248 0.000155414030674676 0.000240566462365266 0.000246999949419925 0.000188353202507401 0.000205735041402276 0.000241352260422455 0 0 0.00021523840785906 0.000229874619593476 0.000544822219893247 0.000266607161899651 0.000256938844553066 0.000238459148955888 0 0 0 0.00029270961747896 0.000270936560547576 0.000347359230413245 0.000150354038978291 0.000282787257564419 0.000243053521656636 0 0.000335637828738042 0 0 0.000307867794098406 0 0.000115708701137656 0 0.000256175281864944 0 9.55157699141869e-05 0.0002030694519377 0 0.000115193294896508 0 9.9350344618771e-05 0.000102908454851835 0.000180403869579812 0.000133406730483704 0.000101455059647964 0.00015546074363851 0 0.000176404465922688 0 0 0.000165403867632019 0 0.000646522367606653 0.000123382131222644 0.000226949492797421 0.000423255232475714 0 0.000119505058707329 0.000359928945083731 0.000132111850341078 0.000132111850341078 0.000132111850341078 0.00037753130955133 0 0.000304963380946534 0.000250590064963819 0 0.000161934218561466 0 0.000175031436238688 0.000314800909364164 0 0.000377347685373533 0.000284890054577429 0 0 0 0 0 0.000382274866286269 0.000437578590596719 0.000143711557122901 0.000197788869631098 0.000306772179172789 0.000306772179172789 0 0 0 0 0.000438692022124955 0 0.000490253928042959 0 0.00037533954578035 0.000421874301864047 0 0 0 0.000163005954643972 0 0.000312518365006237 0.000714718416515876 0.000309618613639822 0.000166415023836976 0.000100979674753089 0 0.000431374390396432 0.000330490667147171 0.00053431600628649 0 0.000242597511297055 0.000966762418851069 0.000857030479014618 0.00119052712193552 0.000327560414240229 0 0.000279275320780412 0 0.000396032078166403 0 9.20644168895198e-05 0.000205735041402276
"conferenc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00289793246573677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conferr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00129679640777185 0
"confid" 0 0 0.0026184840230322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00362508090183853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00399590206559059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confidenti" 0 0 0 0.000923200661674419 0 0 0 0.0022382735075339 0 0 0 0 0 0 0 0 0.0027773890571461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175457319359081 0 0 0 0 0 0 0 0.00377512627257947 0.00377512627257947 0 0 0 0 0 0 0.00373233516873411 0.00685989380549742 0 0 0 0 0 0 0.00139261002066489 0 0 0 0.0053783559418782 0 0.00330376156518939 0 0 0 0 0 0 0 0 0 0.000569242052242583 0.000589628755267586 0 0 0 0 0 0 0 0 0 0 0 0.000706935621177215 0 0.00242510157444753 0 0.000684721377997894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00846706892564253 0 0 0 0.00548791504439794 0 0 0 0 0 0 0 0.000593525760860182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000887002132288203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"configur" 0 0 0 0 0 0 0 0 0 0 0 0.00114673903000223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00223809961450377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00171252945668168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confin" 0 0.00177838097506947 0.00139525709941142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00350612701664332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00184873688704727 0 0 0 0 0 0 0 0 0 0 0.00168795482379476 0.00116155820474901 0.00180158642077026 0.00180158642077026 0.00141212213176135 0.000608346626360637 0.000743749927869408 0 0 0 0 0 0 0 0 0 0.000638930312456597 0 0 0 0 0.000909151363489573 0 0 0 0.000844446679293484 0.000970439203009158 0.00104596236412488 0 0.00071235335492933 0 0 0 0 0 0 0 0.000775261537881231 0 0.000540668334891183 0
"confirm" 0.00390339017109293 0 0 0 0.00076379775506554 0 0 0.0001614128488424 0 0.000513933335151915 0.000371994102467081 0.000515897674996592 0 0 0.00077571909933698 0.000489600485377636 0 0 0 0.000135904999597671 0.000360388890164145 0.000367042699643346 0 0.000670639995399597 0.000503737446947173 0.000300577513174878 0 0.000822280153394914 0.000294773257748053 0 0 0.000223079970633965 0.000188291287988844 0.000677102928688596 0 0.000253061707362153 0.00142533130049079 6.42159290466761e-05 0.000397601138357838 0.00102058553900353 0.00108956612022678 0.000340032795333871 0.00019944994108011 0.00163345690599239 0.00163345690599239 0.000177869839257044 0 0.000150077676873131 0.000220320218419936 0.000212330463852298 0.000197059116521289 0.00376819718657775 0.000989400980867306 0.00149274001304311 0 0 0 0.000497001422947298 0.000467382420704949 0 0 0.000554732282588808 0.0010855142190087 0.00310287639734792 0.000254417395080164 0.00142950242051731 0.00105181956623746 0.000975847542773233 0.000211699466931489 0.00112479269403862 0.000789328206342892 0 0.0012525164065485 0.000856746328198683 0.00240124282997009 0.000903118221490864 0.00119058836694896 0 0.000220490700920648 0.000335363847575266 0.000256940921992592 0.00244940529360846 0 0.00217517162205942 0.00292420449533416 0.000136687311715598 0.00222036999342689 0.00160282958900504 0.00193726222589667 0 0 0.002297963568466 0.00187638707277238 0.000297439960845286 0.00240185617424339 0.00240185617424339 0.00240185617424339 0.000311986294696844 0 0 0.000207083926228041 0.00262758949017219 0.00200730067502196 0.000800414276656697 0.00216965088190191 0 0 0.0014552279018204 0.00117714465363447 0 0.000232673502305213 0 0.00122470264680423 0.000791520784693845 0.000947718899633428 0.000361608480316985 0.000356283320701314 0.00032689959750262 0.00177458396568371 0.00177458396568371 0.000198708146785066 0.000299614316657594 0.000104657498465885 0.00067363471037774 0.00036252860367657 0 0 0.000559451863527063 0.0017059627942966 0.00139452275280482 0.00143912869944335 0.00160082855331339 0.0016183386679058 0.000269411423721826 0 0.00167869362796096 0.0023625309464837 0.000383796369710874 0.000687614581297742 0.0013351697734781 0.000968111492037772 0.000594135701605055 0.000136556301512676 0.000147183616988525 0 0.0010023949899969 0.000532612116803335 0.00035411866092351 0.000218629781961471 0.000812073255987352 0 0.000576972494242273 0 0.000327275056458404 0 0.000228242020506235 0.000360388890164145
"conflict" 0 0 0 0 0 0 0 0.000976194297855421 0 0 0 0.000520008549732681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000388365760324693 0 0 0 0 0 0 0 0.0010757230548153 0.00114887222254274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000578291387185941 0 0 0 0.000477370729588394 0.0010149047902321 0 0.000575715479002485 0 0.000496535247929534 0.000514318046303453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00089943023685496 0 0 0 0 0 0 0.0012524043123649 0 0 0 0 0.00786659312453182 0 0 0 0 0 0 0 0 0 0 0.0014364893029848 0.005931080307582 0.00153319246780614 0.00153319246780614 0 0 0.000632948702429274 0 0 0 0 0.00338345877057743 0 0 0 0 0 0 0 0 0 0.000773709219012618 0.0016634250326391 0.00100935669688448 0 0.000718644009096791 0.000825866613648932 0 0 0 0 0 0 0 0 0 0 0 0 0.000460121484642427 0
"conform" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0010369338561081 0 0.00214189523792151 0 0 0 0 0 0 0 0 0 0 0.00175867812147922 0 0 0 0 0 0 0 0 0 0.000343359708362718 0 0 0 0 0 0 0 0.000951062096904806 0.00101573431949433 0.00080245864426343 0 0 0 0 0 0 0.00129337986353268 0 0 0.000664361110134375 0 0 0 0 0 0 0 0.00254782856060451 0.000511275664175 0 0 0 0.000422050271258033 0 0 0.000508998267007182 0 0.00043899389528664 0.000454715920983336 0 0.000589476971592017 0 0 0 0 0 0 0 0 0 0.000545181827018666 0 0 0 0.000528050420254678 0.000795199101900573 0 0 0 0 0 0.00134752489319708 0.00221453703378125 0 0.000715529811791562 0 0.000773401766112436 0 0 0 0.00188824198749291 0 0 0 0.00654843042653939 0.00423222633122639 0 0 0.00127002068289094 0.00174791756700746 0 0 0.00106248359779742 0 0.00111919795243009 0 0 0 0.00216625802735758 0 0 0.00186411273969188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conformidad" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00335887608061883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confront" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326485665414725 0.0053424927067864 0 0 0 0 0.00244759111985448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00209893466403407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"congest" 0 0 0 0.00146431143867324 0.00167992841963584 0.00189381132882397 0.00242540749130087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120215849568826 0.000992281975541713 0 0 0 0 0 0 0
"conjunct" 0.0138697475133272 0 0 0 0 0.00122380125117593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126614201976601 0 0 0 0 0 0 0 0 0 0 0 0.00156570861104055 0.00150892931218016 0.00140040327589611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000912519939540956 0 0 0 0 0 0 0.00110213160573972 0.00247754869936269 0 0.000875100750624795 0.000638930312456597 0 0 0.000917666074144611 0.00139911317614862 0.000909151363489573 0 0 0 0 0 0 0 0.00071235335492933 0.00189250760462222 0.00251654905171389 0.000776847750746461 0.000641223285923298 0 0 0 0 0 0 0
"connect" 0 0.000721597881410613 0.00127381748197565 0.000767906032055656 0.00143159036444257 0.000248285491831049 0.00190787798985964 0.000232720766889979 0.00157045002733095 0.00160544682954321 0.000938579663853927 0.00136364725366552 0.00227167912130406 0.000878466986065095 0.00391443932402237 0.0017647325049389 0.000288774409899093 0.000440804428272292 0 0.00107769324292072 0.000779398723513487 0.000661490543929437 0.00123681804460545 0.000805759140591872 0.000726275298438025 0.000866729382172523 0.00310992999977509 0.000118554172898165 0.000637494404197928 0 0 0.000482446182717639 0.00135736693992217 0.00158637221374666 0.00148135718924198 0.000182428830883559 0.000385313416459773 0.00263866749333728 0.000573250782069455 0.000441435953241163 0 0.000857937974358124 0.00100646573380136 0.00117753743450573 0.00117753743450573 0.00141046410694368 0.00178026215098236 0.00281291421327972 0 0 0 0.000388063344285053 0 0 0.000697503781239008 0.00129124063011978 0.000620797102811952 0.00214969043276046 0.00101078937789721 0.000723971558652096 0 0.000199949575186458 0.000586899610213966 0 0.000917030640959321 0.0010305093490379 0.0014475544077425 0 0.00244178143922601 0 0.00130873735795635 0.00181461893617392 0.000451461238626127 0.00144110650392182 0 0.00130209191278742 0.00122611339181191 0.00107472024890942 0.00151001382818785 0.00066483822067196 0.00175964040032591 0 0.00199669973120201 0.00117603929527608 0.000351336710789432 0.00147804107145346 0 0.00192576434601457 0.00154355157504985 0.00175760852992993 0.000504291809103653 0 0.00192220470766704 0.000321630788478426 0.00110184218009518 0.00110184218009518 0.00110184218009518 0 0.0020610186980758 0.000726703526797953 0.000597136231322349 0 0.00135056735600271 0.00153868811666583 0.00156407256529102 0.00037507278802475 0 0.00614446211568853 0.000763729181564579 0 0.000670924976292503 0 0 0 0.000455465329434341 0.000260678760881837 0.00077051977167574 0.000824801555463221 0.000365506874688413 0.000365506874688413 0.000143246069438555 0.000431975979879095 0.000754462035657032 0.00169965017142342 0.000261342065616906 0 0 0.00255424241356209 0.00190060922393311 0.00201058594037411 0.00276653014915674 0.00204172077019119 0.00155551852938493 0.00301033443310189 0 0.00260647258916776 0.000993485061048514 0.000737796576743088 0.000892246029041502 0.00150391592816445 0.00270435763200235 0.00137057456930701 0.00127974116284675 0.00180374621940759 0 0.000722613263044869 0.00153581206411131 0.000510558898694833 0.00409779011735071 0.0019513761580895 0.00185058435653052 0.00099823637806371 0.00302265893672429 0.00165149775462199 0 0.000822683237884475 0.000866729382172523
"connectionsubscript" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00153797809137898 0 0 0 0 0 0 0
"connexion" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00661107279388589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conoscenza" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0083452488188571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conscious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123291530381762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00495303563346119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"consecut" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00292208378375744 0 0.00153903090569595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
