"","x"
"breitband",26
"bridg",119
"bring",154
"british",16
"broad",9
"broadband",7076
"broadcast",13
"brought",12
"brussel",279
"bruxell",90
"bruxellesbrussel",24
"budget",426
"budgetari",16
"build",301
"built",146
"bulk",15
"bundesminist",31
"bundesnetzagentur",86
"burden",23
"busi",979
"buy",22
"cabinet",171
"cabl",271
"calcul",133
"calendar",11
"call",174
"candid",16
"cap",46
"capabl",369
"capac",542
"capillar",9
"capit",89
"care",51
"carri",372
"cassa",9
"catalonia",45
"categori",269
"caus",30
"ceil",17
"centr",48
"central",173
"certainti",9
"challeng",32
"chang",472
"channel",12
"chapter",14
"charact",78
"character",13
"characteris",24
"characterist",177
"charg",110
"charl",9
"check",47
"choic",152
"choos",86
"chosen",201
"circumst",46
"citi",65
"citizen",373
"civil",106
"claim",45
"clarif",18
"clarifi",59
"classif",36
"classifi",20
"claus",43
"claw",304
"clawback",120
"client",18
"close",89
"closer",29
"closest",22
"cloud",23
"cluster",62
"code",29
"cofinanc",47
"cohes",205
"collabor",11
"collect",56
"com",166
"combin",109
"come",57
"commenc",23
"comment",84
"commerc",15
"commerci",767
"commiss",3137
"commissi",118
"commit",169
"committe",67
"common",612
"commonwealth",18
"commune",26
"communic",1427
"communiti",277
"compani",405
"compar",392
"comparison",37
"compat",716
"compens",136
"compet",255
"competit",2670
"competitor",109
"complement",60
"complementari",32
"complet",139
"complex",9
"compli",143
"complianc",197
"compon",47
"comprehens",120
"compris",76
"comput",17
"conceiv",10
"concentr",58
"concept",20
"concern",826
"concess",107
"conclud",357
"conclus",175
"concret",21
"condit",1811
"conduc",13
"conduct",264
"confer",160
"confidenti",23
"confin",23
"confirm",567
"conflict",40
"conform",39
"conjunct",21
"connect",1453
"consequ",180
"consid",879
"consider",142
"consist",114
"consolid",38
"consortium",10
"constitut",231
"constraint",15
"construct",611
"consult",952
"consum",138
"contact",65
"contain",247
"contend",19
"content",46
"context",221
"continu",143
"contract",531
"contractor",57
"contractu",37
"contrari",169
"contrast",20
"contribut",372
"control",198
"convers",12
"cooper",56
"coordin",72
"copper",69
"core",34
"corpor",13
"correct",28
"correspond",67
"cost",1121
"council",226
"counti",33
"countri",206
"countrywid",8
"cours",50
"court",98
"cover",636
"coverag",893
"creat",217
"creation",113
"credibl",49
"crisi",16
"criteria",528
"criterion",56
"critic",15
"cross",13
"crowd",136
"crucial",63
"cultur",12
"cumul",145
"current",894
"custom",391
"dae",55
"dark",265
"data",438
"databas",65
"date",245
"day",52
"deadlin",26
"deal",16
"decemb",269
"decid",274
"decis",864
"declar",54
"decre",33
"decreas",24
"dedic",50
"deem",207
"defin",353
"definit",86
"deg",20
"degrad",12
"degre",41
"del",34
"delay",31
"delin",14
"deliv",344
"deliveri",123
"della",38
"demand",572
"demograph",18
"demonstr",158
"dens",101
"densiti",228
"depart",43
"depend",171
"deploy",1219
"depopul",8
"depreci",21
"depriv",12
"der",20
"deriv",32
"derog",9
"des",69
"describ",508
"descript",166
"design",754
"desir",30
"despit",82
"detail",542
"deter",12
"determin",165
"detriment",12
"develop",1291
"devic",61
"devot",12
"dialogu",25
"die",16
"differ",68
"differenti",15
"difficult",83
"difficulti",43
"digit",760
"direct",577
"director",31
"disadvantag",49
"disburs",12
"disclos",15
"disclosur",13
"discourag",22
"discret",30
"discrimin",77
"discriminatori",496
"discuss",83
"disincent",11
"dispar",14
"dispers",15
"dispos",48
"disproportion",37
"disput",93
"dissemin",21
"distanc",99
"distinct",23
"distort",1356
"distribut",174
"district",51
"divid",329
"divis",16
"docsi",25
"document",315
"domin",33
"doubl",37
"download",410
"downstream",59
"draft",41
"dramat",16
"draw",37
"drguido",8
"drive",16
"driven",15
"driver",39
"drop",36
"dsl",20
"duct",533
"due",444
"duli",14
"duplic",106
"durat",317
"eafrd",66
"earmark",27
"earn",22
"easi",31
"easili",10
"eastern",84
"ebitda",67
"eclieu",68
"econom",1775
"economi",201
"ecr",22
"educ",121
"eeurop",28
"effect",1723
"effici",131
"effort",34
"ekscelencja",14
"electr",38
"electron",926
"element",303
"elig",468
"elimin",33
"elsewher",67
"email",22
"emerg",76
"emphas",9
"employ",90
"enabl",406
"encompass",11
"encourag",213
"encrypt",14
"endors",10
"energi",47
"enforc",19
"engag",168
"engin",43
"english",24
"enhanc",138
"enjoy",51
"ensur",1319
"entail",52
"enter",124
"enterpris",124
"entir",81
"entireti",25
"entiti",145
"entitl",64
"entrepreneur",17
"entri",151
"entrust",70
"environ",36
"envisag",214
"equal",176
"equip",278
"equit",12
"equiti",21
"equival",82
"erdf",88
"erm",52
"escal",15
"especi",76
"essenti",115
"establish",407
"esteri",19
"estim",126
"etc",121
"eur",315
"euro",28
"europ",365
"european",1053
"européenn",91
"européenneeuropes",26
"europes",88
"evalu",465
"event",47
"eventu",27
"evid",173
"evidenc",15
"evolut",21
"exact",45
"examin",191
"exampl",116
"exant",25
"exceed",160
"excel",13
"except",104
"excess",127
"exchang",184
"exclud",229
"exclus",123
"execut",37
"exempt",19
"exercis",179
"exhibit",15
"exist",2085
"expand",69
"expans",53
"expect",388
"expenditur",80
"expens",157
"experi",15
"expert",61
"expertis",9
"expir",17
"expiri",40
"explain",315
"explan",13
"explicit",32
"exploit",89
"express",57
"expressli",12
"extend",175
"extens",83
"extent",235
"extern",42
"extra",58
"exzellenz",24
"face",28
"faci",31
"facil",63
"facilit",237
"facto",18
"factor",60
"factual",20
"fail",85
"failur",375
"fair",107
"faith",33
"fall",99
"fallen",12
"farnesina",19
"fast",101
"faster",14
"favour",293
"fax",36
"feasibl",54
"featur",123
"februari",67
"feder",266
"fee",152
"fiber",27
"fibr",809
"fibreopt",21
"field",67
"fifteen",18
"figur",29
"fill",15
"fin",8
"final",480
"finalis",32
"financ",436
"financi",333
"find",24
"finish",11
"firenz",9
"firm",97
"first",13
"five",95
"fix",270
"fixedlin",10
"flagship",42
"flexibl",18
"flow",17
"flughafen",19
"focus",38
"follow",1003
"forc",66
"forecast",27
"forego",33
"foreign",35
"forese",86
"foreseen",110
"form",325
"formal",18
"former",18
"forth",9
"forward",28
"foster",73
"found",114
"foundat",38
"fourth",16
"frame",38
"framework",397
"franc",20
"frankwalt",12
"free",86
"freedom",12
"freistaat",17
"friuli",43
"fttb",17
"fttc",34
"ftth",77
"fttx",10
"fulfil",258
"function",164
"fund",1691
"fundament",35
"für",23
"furthermor",348
"futur",541
"futureproof",18
"gain",58
"gap",282
"gas",39
"gather",40
"gazett",17
"gbp",37
"gbps",117
"generat",258
"genuin",76
"geograph",249
"geographi",24
"german",357
"germani",444
"gigabit",212
"gillet",11
"giulia",24
"give",29
"global",25
"gmbh",31
"goal",99
"govern",369
"gradual",13
"grant",1511
"great",12
"greec",70
"greek",170
"greff",20
"grey",267
"ground",14
"grow",88
"growth",217
"guarante",159
"guid",13
"guidanc",24
"guidelin",1475
"half",14
"hand",155
"handicap",55
"happen",8
"health",77
"heiko",8
"held",29
"help",108
"henc",480
"hereaft",124
"hereinaft",39
"herrn",31
"hidden",16
"high",34
"highlight",58
"histor",16
"hold",29
"home",43
"hon",17
"host",16
"hotspot",27
"hous",59
"household",307
"hub",14
"hybrid",14
"ict",34
"ident",61
"identif",36
"identifi",385
"illustr",36
"immedi",16
"impact",339
"implement",711
"impli",40
"import",90
"impos",221
"imposs",14
"improv",312
"imput",49
"inadequ",41
"incent",481
"incentiv",16
"incentivis",26
"includ",1165
"inclus",81
"incom",45
"incompat",91
"incorpor",27
"increas",442
"incumb",290
"incur",36
"inde",94
"independ",93
"indic",314
"indirect",164
"indispens",14
"individu",197
"induc",28
"industri",162
"inequ",79
"influenc",8
"inform",1217
"infrastructur",5275
"infrastructurebas",13
"inhabit",68
"inher",9
"initi",364
"innov",102
"input",38
"insert",10
"insofar",111
"instal",142
"instanc",211
"instead",77
"institut",45
"instrument",530
"insuffici",72
"intang",22
"integr",86
"intend",186
"intens",307
"intent",41
"inter",92
"interconnect",60
"interfer",10
"intermedi",17
"intern",299
"internet",511
"interoper",41
"interpret",65
"interven",41
"intervent",973
"intra",21
"intracommun",22
"introduc",49
"introduct",17
"inventori",84
"invest",2236
"investig",25
"investor",213
"invit",57
"involv",435
"ireland",133
"irrespect",61
"isol",25
"issu",120
"itali",171
"italia",91
"italian",557
"item",34
"januari",84
"jego",14
"joaquín",20
"job",81
"joce",29
"join",29
"joint",35
"journal",61
"judgement",24
"judgment",80
"juli",120
"june",150
"justic",26
"justif",23
"justifi",136
"kansa",11
"katz",10
"kbit",21
"kbps",51
"kept",29
"key",163
"king",9
"kingdom",85
"knowledg",30
"knowledgebas",17
"kroe",12
"lack",344
"lag",17
"laid",140
"land",132
"länder",23
"languag",83
"larger",99
"largest",25
"latenc",72
"latter",69
"launch",60
"law",216
"lay",70
"layer",85
"lead",167
"learn",54
"leas",334
"leav",87
"led",49
"left",28
"legal",300
"legisl",69
"lehr",13
"leipzighall",10
"length",26
"letter",287
"level",890
"liabl",130
"liber",10
"liberalis",30
"librari",12
"licenc",26
"licens",60
"life",49
"lifetim",76
"light",185
"likewis",13
"limit",937
"line",1104
"link",148
"liquid",13
"lisbon",12
"list",91
"lithuania",78
"littl",16
"live",58
"llu",14
"loan",51
"local",952
"locat",393
"london",25
"look",27
"loop",86
"lot",97
"low",253
"lower",303
"lowest",108
"lte",76
"maa",9
"mail",24
"main",262
"maintain",124
"mainten",119
"major",107
"make",49
"manag",403
"mandat",23
"mandatori",12
"manhol",13
"manner",158
"map",362
"march",171
"margin",30
"marin",8
"mark",11
"market",2940
"marketbas",55
"marketdriven",13
"markt",44
"mass",22
"massmarket",15
"mast",83
"match",22
"materi",20
"matter",20
"max",44
"maximis",51
"maximum",218
"mbit",183
"mbps",697
"mean",563
"measur",5510
"mechan",487
"media",14
"medium",72
"mediums",14
"meet",279
"mention",203
"mere",57
"met",182
"method",29
"methodolog",100
"metropolitan",28
"middl",27
"migrat",25
"mile",366
"mileston",23
"million",377
"min",20
"minim",57
"minimi",89
"minimis",369
"minimum",355
"minist",45
"ministri",116
"ministro",20
"miss",9
"mitteldeutsch",10
"mix",19
"mnos",189
"mobil",1087
"modal",35
"model",376
"modem",31
"modern",37
"modernis",18
"modif",72
"modifi",58
"moment",13
"money",31
"monitor",534
"monopoli",36
"month",127
"moreov",391
"mountain",51
"move",34
"mover",22
"multipl",46
"multipoint",18
"municip",770
"name",94
"nation",734
"nationwid",15
"natur",113
"near",327
"necess",33
"necessarili",12
"neeli",12
"negat",301
"negoti",48
"neither",40
"net",49
"network",6110
"neutral",329
"nevertheless",32
"newli",56
"nga",1799
"nganetwork",21
"ngn",188
"node",262
"none",25
"normal",168
"north",58
"northern",40
"notabl",18
"note",263
"notic",57
"notif",183
"notifi",1248
"notion",11
"novel",14
"novemb",92
"nra",388
"numer",15
"oberta",79
"object",1500
"oblig",728
"observ",48
"obstacl",24
"obtain",200
"occur",25
"octob",97
"ofcom",64
"offer",1602
"offic",61
"offici",58
"offset",53
"omiss",8
"omit",8
"one",34
"ongo",26
"onlin",71
"open",49
"oper",5346
"opinion",158
"opportun",96
"oppos",16
"opt",16
"optic",303
"optim",29
"optimis",12
"option",96
"orazem",11
"organ",24
"organis",76
"organiz",9
"orient",27
"origin",143
"osorio",12
"otherwis",146
"outcom",100
"outlin",50
"output",23
"outright",17
"outsid",62
"outweigh",23
"overal",539
"overbuilt",9
"overcom",70
"overcompens",70
"overlap",19
"overview",15
"own",207
"owner",95
"ownership",149
"packag",11
"page",56
"paid",92
"pan",25
"paper",20
"para",69
"paragraph",1310
"parallel",29
"paramet",33
"park",66
"parliament",69
"part",48
"parti",823
"partial",28
"particip",154
"particular",662
"partner",74
"partnership",26
"pass",62
"passiv",845
"past",53
"path",18
"pattern",17
"pay",67
"payment",128
"penetr",61
"peopl",68
"perceiv",9
"percentag",41
"perform",222
"period",381
"peripher",24
"permit",22
"persist",9
"person",15
"perspect",59
"pertin",20
"peter",12
"phase",147
"phone",11
"physic",104
"pilot",49
"pipelin",32
"place",59
"plan",1577
"platform",139
"plausibl",35
"play",40
"player",41
"pleas",95
"pln",32
"poland",176
"pole",61
"polici",263
"polish",718
"polska",12
"poor",13
"popul",498
"portal",49
"portion",9
"pose",26
"posit",590
"possibl",278
"post",75
"potenti",838
"power",126
"practic",68
"pragu",13
"preced",15
"precis",59
"preclud",27
"predefin",55
"predetermin",10
"predomin",10
"preestablish",11
"prefer",79
"preferenti",9
"prejudic",51
"preliminari",11
"premis",128
"prenotif",65
"prepar",69
"prerequisit",14
"prescrib",10
"presenc",187
"preserv",22
"presid",13
"presuppos",13
"prevail",81
"prevent",112
"previous",122
"price",1423
"prima",31
"primari",26
"primarili",32
"princip",11
"principl",338
"prior",34
"priori",46
"prioriti",92
"privat",991
"pro",23
"probabl",25
"problemat",43
"procedur",953
"proceed",28
"process",394
"procompetit",75
"procur",525
"produc",76
"product",521
"profession",40
"profit",463
"program",53
"programm",262
"progress",62
"prohibit",23
"project",2540
"prolong",66
"promot",133
"prompt",8
"proof",36
"proper",28
"properti",15
"proport",250
"proportion",57
"propos",377
"prospect",53
"protect",29
"protocol",25
"prove",78
"provid",4479
"provinc",100
"provinci",48
"provis",1053
"public",2769
"publicpriv",11
"publicsector",17
"publish",363
"purchas",71
"pure",75
"purpos",332
"pursu",146
"pursuant",254
"pursuit",13
"put",10
"qualifi",125
"qualit",61
"qualiti",241
"quantifi",19
"quarter",12
"question",226
"rack",9
"radio",73
"radosław",14
"rais",179
"rang",79
"rank",12
"rapid",148
"rate",212
"ratio",17
"rational",28
"reach",263
"readi",23
"real",21
"realis",49
"realiz",11
"reason",263
"recal",18
"receipt",24
"receiv",421
"recent",44
"recipi",139
"recit",652
"recogn",11
"recognis",32
"recommend",57
"record",17
"recours",34
"recov",64
"recoveri",56
"reduc",301
"reduct",31
"refer",310
"reflect",62
"refund",13
"regard",834
"regardless",52
"regim",16
"region",1288
"regist",177
"registri",19
"regul",807
"regular",122
"regulatori",485
"reimburs",31
"reinvest",31
"relat",518
"relev",314
"reli",63
"reliabl",113
"remain",286
"remaind",14
"remedi",84
"remind",38
"remot",226
"remov",12
"remuner",16
"render",10
"renew",11
"rent",67
"rental",35
"repaid",26
"repay",40
"replac",23
"repli",63
"replic",31
"report",408
"repres",99
"republ",31
"request",442
"requir",1036
"research",129
"reserv",14
"resid",45
"residenti",169
"resili",13
"resolut",30
"resolv",34
"resourc",650
"respect",545
"respond",43
"respons",119
"rest",29
"restrict",99
"result",493
"retail",678
"retain",38
"retent",33
"retroact",39
"return",90
"reus",23
"reveal",20
"revenu",214
"revers",30
"review",61
"revis",42
"right",67
"rise",13
"risk",101
"risparmio",9
"road",34
"role",93
"roll",354
"rollout",171
"roma",19
"rout",80
"rue",13
"rule",623
"run",84
"rural",705
"safeguard",128
"safeti",17
"sale",32
"satellit",128
"satisfactorili",12
"satisfi",151
"save",21
"scale",45
"scarc",19
"scatter",9
"scenario",70
"schedul",14
"scheme",1688
"school",143
"scope",124
"score",76
"seamless",21
"second",19
"secondari",19
"secreci",24
"secretari",20
"section",337
"sector",358
"sectori",12
"secur",99
"seek",111
"seeker",190
"seen",36
"segment",118
"seiner",23
"select",2082
"sell",38
"sens",49
"sent",60
"separ",173
"septemb",103
"serious",24
"serv",251
"servic",6107
"set",863
"settl",14
"settlement",31
"seven",96
"sever",17
"share",141
"short",55
"shortag",20
"shorten",9
"shown",90
"sign",24
"signal",18
"signific",537
"sikorski",14
"similar",254
"simpl",9
"simpli",10
"simplifi",14
"simultan",12
"singl",188
"sir",99
"sirbu",12
"site",123
"situat",274
"six",36
"size",73
"skill",29
"slg",11
"smart",66
"sme",31
"smes",150
"smp",22
"social",260
"societi",245
"socioeconom",55
"sold",12
"sole",25
"solut",471
"solv",90
"soon",19
"sought",10
"sourc",63
"south",58
"spa",37
"space",27
"spain",54
"spanish",246
"spare",31
"spars",71
"special",54
"specif",365
"specifi",162
"spectrum",63
"speed",1411
"spent",12
"spill",39
"spillov",12
"split",13
"spot",49
"spraw",16
"spread",11
"staff",44
"stage",125
"stake",40
"stakehold",192
"stand",19
"standard",80
"standstil",18
"start",125
"state",94
"stateaidgreffeeceuropaeu",20
"statement",20
"station",26
"statist",13
"status",33
"steinmeier",12
"step",280
"stimul",129
"stimulus",17
"stipul",51
"stock",13
"strateg",82
"strategi",315
"stream",15
"street",122
"strengthen",79
"stress",18
"strict",15
"strong",35
"structur",150
"studi",108
"sub",15
"subject",437
"subloop",10
"submiss",47
"submit",392
"subscrib",190
"subscript",70
"subsequ",99
"subsid",208
"subsidi",121
"subsidis",565
"substanc",45
"substant",29
"substanti",42
"substitut",51
"success",89
"suffer",15
"suffic",9
"suffici",346
"suggest",55
"suitabl",92
"sum",13
"summari",116
"supervis",60
"supervisori",10
"supplement",13
"suppli",328
"supplier",194
"support",1533
"suppos",19
"surplus",26
"survey",67
"suspend",11
"sustain",175
"swa",17
"swd",19
"switch",14
"symmetr",163
"synergi",25
"system",173
"szucha",15
"tabl",117
"tackl",10
"take",168
"tangibl",21
"target",1842
"tariff",85
"task",40
"tax",56
"team",12
"technic",333
"technolog",1421
"telecom",177
"telecommun",544
"telefon",34
"telefono",12
"telephon",68
"telephoni",62
"televis",16
"ten",37
"tend",39
"tender",1214
"term",729
"termin",60
"terrestri",31
"territori",167
"test",114
"text",48
"tfeu",858
"thank",18
"therebi",148
"therein",60
"thereof",16
"third",803
"thirdparti",28
"thorough",30
"threaten",177
"threshold",95
"throughout",71
"throughput",9
"time",470
"timefram",78
"tool",13
"topograph",16
"topographi",11
"topolog",35
"total",239
"tourism",25
"tourist",32
"toward",96
"tower",30
"town",104
"trade",877
"tradit",173
"traffic",59
"train",12
"transfer",62
"transform",11
"transit",15
"transmiss",168
"transpar",505
"transport",112
"treat",11
"treati",436
"treatment",47
"trigger",25
"tripl",9
"true",10
"turnov",9
"type",291
"typic",106
"ubiquit",10
"uke",46
"ull",73
"ultim",71
"ultra",37
"ultrafast",33
"unattract",19
"unavail",26
"unbundl",184
"uncertain",20
"unchang",20
"uncov",18
"und",32
"under",22
"underlin",34
"underserv",78
"understand",11
"understood",42
"undertak",640
"undertaken",172
"undertook",23
"undu",43
"unduli",19
"uniform",9
"uninterrupt",10
"union",225
"unit",128
"univers",46
"unlaw",14
"unless",28
"unlik",104
"unlimit",36
"unnecessari",57
"unreason",10
"unserv",49
"updat",89
"upfront",14
"upgrad",365
"upload",152
"upper",98
"upstream",26
"urban",213
"usag",30
"use",294
"user",1159
"usual",86
"util",31
"utilis",48
"valid",39
"valu",117
"vari",24
"varieti",31
"various",109
"vast",13
"vat",13
"vdsl",25
"venezia",24
"verif",12
"verifi",152
"version",131
"vertic",31
"via",273
"viabil",26
"viabl",60
"vicepresid",21
"video",13
"view",424
"vii",30
"villag",32
"virtual",28
"visàvi",30
"vision",14
"vodafon",14
"voic",135
"voip",8
"voivodship",132
"volum",36
"voucher",158
"waiv",12
"waiver",13
"warsaw",17
"warszawa",15
"wast",50
"water",16
"web",18
"websit",132
"week",11
"weigh",31
"weight",136
"welsh",37
"werdersch",32
"westerwell",11
"whatev",15
"whatsoev",79
"whenev",23
"wherea",98
"wherebi",31
"wherev",48
"whilst",33
"white",678
"wholesal",2131
"wholli",17
"wide",82
"widen",8
"wider",57
"widespread",81
"wien",17
"wifi",40
"will",46
"wimax",12
"win",69
"wire",30
"wireless",168
"wish",141
"word",13
"write",19
"written",13
"xarxa",79
"xdsl",22
"year",19
"yorkshir",86
"zagranicznych",16
"zone",21
